group,slug,timezone,open,close
North America,usa,America/New_York,09:30,16:00
North America,canada,America/Toronto,09:30,16:00
Europe,austria,Europe/Vienna,09:00,17:30
Europe,italy,Europe/Rome,09:00,17:30
Europe,belgium,Europe/Brussels,09:00,17:30
Europe,lithuania,Europe/Vilnius,10:00,16:00
Europe,switzerland,Europe/Zurich,09:00,17:20
Europe,latvia,Europe/Riga,10:00,16:00
Europe,cyprus,Asia/Nicosia,09:00,17:20
Europe,luxembourg,Europe/Luxembourg,09:00,17:35
Europe,czech,Europe/Prague,09:00,16:00
Europe,netherlands,Europe/Amsterdam,09:05,17:30
Europe,germany,Europe/Berlin,08:00,22:00
Europe,norway,Europe/Oslo,09:00,16:25
Europe,denmark,Europe/Copenhagen,09:00,16:55
Europe,poland,Europe/Warsaw,09:00,16:50
Europe,estonia,Europe/Tallinn,10:00,16:00
Europe,portugal,Europe/Lisbon,09:00,17:30
Europe,spain,Europe/Madrid,09:00,17:30
Europe,serbia,UTC,09:30,15:30
Europe,finland,Europe/Helsinki,10:00,18:25
Europe,russia,Europe/Moscow,10:00,18:40
Europe,france,Europe/Paris,09:00,17:30
Europe,romania,Europe/Bucharest,10:00,17:55
Europe,greece,Europe/Athens,10:00,17:20
Europe,sweden,Europe/Stockholm,09:00,17:25
Europe,hungary,Europe/Budapest,09:00,17:00
Europe,slovakia,Europe/Bratislava,11:00,16:00
Europe,ireland,Europe/Dublin,08:00,16:00
Europe,turkey,Europe/Istanbul,10:00,18:00
Europe,iceland,Atlantic/Reykjavik,09:30,15:25
Europe,united-kingdom,Europe/London,08:00,16:30
Middle East - Africa,uae,Asia/Dubai,10:00,15:00
Middle East - Africa,bahrain,Asia/Bahrain,10:00,12:30
Middle East - Africa,nigeria,Africa/Lagos,09:30,14:30
Middle East - Africa,egypt,Africa/Cairo,10:00,14:30
Middle East - Africa,qatar,Asia/Qatar,09:00,13:15
Middle East - Africa,israel,Asia/Jerusalem,09:59,17:25
Middle East - Africa,ksa,Asia/Riyadh,10:00,16:00
Middle East - Africa,kenya,Africa/Nairobi,09:00,15:00
Middle East - Africa,tunisia,Africa/Tunis,09:00,14:10
Middle East - Africa,kuwait,Asia/Kuwait,09:00,12:45
Middle East - Africa,south-africa,Africa/Johannesburg,09:00,17:00
Mexico - South America,argentina,America/Argentina/Buenos_Aires,11:00,17:00
Mexico - South America,mexico,America/Mexico_City,08:30,15:00
Mexico - South America,brazil,America/Sao_Paulo,10:00,16:55
Mexico - South America,peru,America/Lima,09:30,14:00
Mexico - South America,chile,America/Santiago,09:30,16:00
Mexico - South America,venezuela,America/Caracas,09:00,13:00
Mexico - South America,colombia,America/Bogota,09:00,16:00
Asia - Pacific,australia,Australia/Sydney,10:00,16:00
Asia - Pacific,malaysia,Asia/Kuala_Lumpur,09:00,17:00
Asia - Pacific,bangladesh,Asia/Dhaka,10:00,14:20
Asia - Pacific,new-zealand,Pacific/Auckland,10:00,16:45
Asia - Pacific,china,Asia/Shanghai,09:30,16:00
Asia - Pacific,philippines,Asia/Manila,09:30,13:00
Asia - Pacific,hong-kong,Asia/Hong_Kong,09:30,16:00
Asia - Pacific,pakistan,Asia/Karachi,09:30,14:15
Asia - Pacific,indonesia,Asia/Jakarta,09:00,15:00
Asia - Pacific,singapore,Asia/Singapore,09:00,17:00
Asia - Pacific,india,Asia/Kolkata,09:15,15:30
Asia - Pacific,thailand,Asia/Bangkok,10:00,16:30
Asia - Pacific,japan,Asia/Tokyo,09:00,15:00
Asia - Pacific,taiwan,Asia/Taipei,09:00,13:30
Asia - Pacific,korea,Asia/Seoul,09:00,15:30
Asia - Pacific,vietnam,Asia/Ho_Chi_Minh,09:00,15:00
Asia - Pacific,sri-lanka,Asia/Colombo,10:30,14:30
